00	.	229599
010	gn	14
010	ng	324144
0110	sa	308026
01110	ay	171969
011110	ang	165146
01111100	na	212546
0111110100	at	112391
0111110101	o	36706
0111110110	bilang	21378
01111101110	pang	5982
011111011110	siyang	3317
011111011110	syang	60
01111101111100	ding	1519
011111011111010	ring	2111
0111110111110110	itong	3629
0111110111110111	akong	46
0111110111110111	bang	95
0111110111110111	kaming	13
0111110111110111	kang	73
0111110111110111	kayong	26
0111110111110111	namang	487
0111110111110111	ngang	48
0111110111110111	palang	29
0111110111110111	sanang	18
0111110111110111	silang	992
0111110111110111	tayong	86
01111101111110	nitong	1209
011111011111110	niyang	2296
011111011111110	nyang	37
011111011111111	kong	86
011111011111111	mong	112
011111011111111	munang	20
011111011111111	naming	62
011111011111111	nating	219
011111011111111	nilang	835
011111011111111	ninyong	19
01111110000	and	4122
01111110001000	in	2418
01111110001000	throughout	10
01111110001001	for	1264
01111110001010	Beedle	23
01111110001010	about	104
01111110001010	around	31
01111110001010	between	48
01111110001010	near	32
01111110001010	on	922
01111110001010	over	98
01111110001010	since	34
01111110001010	than	79
01111110001010	today	12
01111110001010	towards	27
01111110001010	under	61
01111110001011	Through	18
01111110001011	against	25
01111110001011	by	709
01111110001011	during	38
01111110001011	from	497
01111110001011	include	23
01111110001011	monitoring	14
01111110001011	prompting	16
01111110001011	remove	11
01111110001011	through	59
011111100011	About	33
011111100011	Add	20
011111100011	After	54
011111100011	Against	24
011111100011	Among	12
011111100011	And	152
011111100011	Are	41
011111100011	Around	15
011111100011	As	91
011111100011	Because	18
011111100011	Behind	11
011111100011	Beyond	13
011111100011	Build	10
011111100011	But	35
011111100011	By	34
011111100011	Despicable	12
011111100011	Did	12
011111100011	Do	73
011111100011	During	17
011111100011	Escape	35
011111100011	Ever	12
011111100011	For	133
011111100011	From	50
011111100011	Get	52
011111100011	Had	10
011111100011	If	104
011111100011	In	291
011111100011	Is	79
011111100011	Just	48
011111100011	Like	59
011111100011	Make	17
011111100011	Makes	53
011111100011	Met	11
011111100011	Must	10
011111100011	Off	17
011111100011	On	203
011111100011	Only	38
011111100011	Over	44
011111100011	Please	32
011111100011	Remember	12
011111100011	Returns	16
011111100011	See	63
011111100011	Should	11
011111100011	Since	16
011111100011	Sing	18
011111100011	Take	37
011111100011	Than	17
011111100011	Think	13
011111100011	Though	24
011111100011	To	150
011111100011	Trust	13
011111100011	Try	10
011111100011	Under	16
011111100011	Upon	11
011111100011	Use	21
011111100011	Was	13
011111100011	Were	12
011111100011	When	57
011111100011	While	29
011111100011	With	88
011111100011	Without	11
0111111001000	Bilang	1268
0111111001001	Ginawang	16
0111111001001	Magiging	17
0111111001001	Nagiging	36
0111111001001	Naging	973
0111111001001	Nananatiling	11
011111100101	----	199
011111100101	Bandang	30
011111100101	Nangangahulugang	31
011111100101	Nasa	362
011111100101	PUROK	10
011111100101	Retrieved	193
011111100101	Tinaguriang	14
011111100101	^	278
01111110011	According	13
01111110011	Another	15
01111110011	Bagama	90
01111110011	Come	37
01111110011	Crazy	27
01111110011	Dalawampu	10
01111110011	Due	11
01111110011	Editors	10
01111110011	Even	12
01111110011	Everything	14
01111110011	He	137
01111110011	Here	32
01111110011	How	47
01111110011	Ikumi	15
01111110011	It	251
01111110011	Keep	15
01111110011	Let	38
01111110011	Nguni	19
01111110011	Or	12
01111110011	Originally	10
01111110011	Raymart	15
01111110011	Sapagka	11
01111110011	She	62
01111110011	Some	19
01111110011	Subali	19
01111110011	That	89
01111110011	There	62
01111110011	These	49
